Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,37309982.75,80.20189285,9999.192,,,0.002547271747187,4.88174469865842E-5,,,,,,,,,5,125,0,7.06299981102347,0.210566195725658,5.08434421236799E-5,4374,0,80.0782318,80.3255539,9999.192,9999.192,0.150778288530344,82.4991,,,,,,,,,,,,,,,,,,,,,,,80.20189285
,37310131.58,85.140007,9999.192,,,0.00248376112166833,4.81062989102227E-5,,,,,,,,,5,125,0,7.26599986664951,0.210566195725658,5.03864517491453E-5,4374,0,85.0331421,85.2468719,9999.192,9999.192,0.161418059165415,87.14295,,,,,,,,,,,,,,,,,,,,,,,85.140007
,37310285.67,90.19444655,9999.192,,,0.00242625561296178,4.99877134562214E-5,,,,,,,,,5,125,0,7.31199954170734,0.210566195725658,5.01686497833418E-5,4374,0,90.0656662,90.3232269,9999.192,9999.192,0.148541795610024,92.7804,,,,,,,,,,,,,,,,,,,,,,,90.19444655
,37310434.53,95.15465545,9999.192,,,0.00238454131782179,4.90507462005255E-5,,,,,,,,,5,125,0,7.17199954669923,0.210566195725658,4.97253370764026E-5,4374,0,95.0427933,95.2665176,9999.192,9999.192,0.158326393206992,97.6947,,,,,,,,,,,,,,,,,,,,,,,95.15465545
,37310587.98,100.15436935,9999.192,,,0.00232841077540176,4.89155883780858E-5,,,,,,,,,5,125,0,7.03100000973791,0.210566195725658,4.95410504050311E-5,4374,0,100.0559235,100.2528152,9999.192,9999.192,0.16083528810939,102.41505,,,,,,,,,,,,,,,,,,,,,,,100.15436935
,37310744.86,105.14829635,9999.192,,,0.00227952147832828,4.93702951700086E-5,,,,,,,,,5,125,0,6.74999984912574,0.210566195725658,4.91642591377139E-5,4374,0,105.0503082,105.2462845,9999.192,9999.192,0.147916968729182,108.4497,,,,,,,,,,,,,,,,,,,,,,,105.14829635
,37310898.17,110.1506119,9999.192,,,0.00222342877129554,4.97804725270578E-5,,,,,,,,,5,125,0,6.8910000147298,0.210566195725658,4.90500584091321E-5,4374,0,110.0435486,110.2576752,9999.192,9999.192,0.138426820978907,113.8833,,,,,,,,,,,,,,,,,,,,,,,110.1506119
,37311042.44,115.09480285,9999.192,,,0.00217856196458979,5.18498827723762E-5,,,,,,,,,5,125,0,6.53099957853556,0.210566195725658,4.88293363187813E-5,4374,0,115.0283966,115.1612091,9999.192,9999.192,0.138145631522369,116.98935,,,,,,,,,,,,,,,,,,,,,,,115.09480285
,37311189.39,120.1635742,9999.192,,,0.00213816904230217,5.03204891471298E-5,,,,,,,,,5,125,0,6.54700042214245,0.210566195725658,4.86884606832207E-5,4374,0,120.0543289,120.2728195,9999.192,9999.192,0.14756814048054,122.72,,,,,,,,,,,,,,,,,,,,,,,120.1635742
,37311348.22,125.2608299,9999.192,,,0.00208189174880883,5.39822268662842E-5,,,,,,,,,5,125,0,6.54700042214245,0.210566195725658,4.87260653714078E-5,4374,0,125.0899353,125.4317245,9999.192,9999.192,0.134162730432923,130.9066,,,,,,,,,,,,,,,,,,,,,,,125.2608299
,37311504.13,130.09923555,9999.192,,,0.0020578320169773,5.4019585886719E-5,,,,,,,,,5,125,0,6.95299990475178,0.210566195725658,4.86663709152567E-5,4374,0,130.0042572,130.1942139,9999.192,9999.192,0.150647690828524,135.0227,,,,,,,,,,,,,,,,,,,,,,,130.09923555
