'y-axis saved as y
'x,NN_StartingMaterials_Ba(NO3)2.raw
17.4710718,17
17.4896576,19
17.5082434,23
17.5268292,14
17.545415,11
17.5640008,11
17.5825866,18
17.6011724,14
17.6197582,19
17.638344,18
17.6569298,13
17.6755156,19
17.6941014,10
17.7126872,13
17.731273,13
17.7498588,11
17.7684446,20
17.7870304,16
17.8056162,9
17.824202,11
17.8427878,13
17.8613736,11
17.8799594,11
17.8985452,11
17.917131,14
17.9357168,14
17.9543026,10
17.9728884,16
17.9914742,21
18.01006,20
18.0286458,16
18.0472316,13
18.0658174,18
18.0844032,14
18.102989,17
18.1215748,14
18.1401606,22
18.1587464,9
18.1773322,17
18.195918,15
18.2145038,16
18.2330896,21
18.2516754,12
18.2702612,18
18.288847,14
18.3074328,11
18.3260186,14
18.3446044,19
18.3631902,15
18.381776,19
18.4003618,15
18.4189476,15
18.4375334,17
18.4561192,19
18.474705,25
18.4932908,16
18.5118766,12
18.5304624,16
18.5490482,20
18.567634,15
18.5862198,16
18.6048056,23
18.6233914,21
18.6419772,28
18.660563,18
18.6791488,18
18.6977346,28
18.7163204,15
18.7349062,23
18.753492,22
18.7720778,27
18.7906636,23
18.8092494,17
18.8278352,20
18.846421,22
18.8650068,48
18.8835926,34
18.9021784,45
18.9207642,94
18.93935,97
18.9579358,126
18.9765216,281
18.9951074,381
19.0136932,543
19.032279,513
19.0508648,470
19.0694506,478
19.0880364,404
19.1066222,330
19.125208,216
19.1437938,181
19.1623796,146
19.1809654,92
19.1995512,124
19.218137,72
19.2367228,95
19.2553086,80
19.2738944,72
19.2924802,33
19.311066,26
19.3296518,30
19.3482376,25
19.3668234,20
19.3854092,22
19.403995,22
19.4225808,16
19.4411666,25
19.4597524,25
19.4783382,18
19.496924,15
19.5155098,17
19.5340956,15
19.5526814,18
19.5712672,17
19.589853,11
19.6084388,15
19.6270246,17
19.6456104,24
19.6641962,22
19.682782,12
19.7013678,13
19.7199536,16
19.7385394,17
19.7571252,18
19.775711,14
19.7942968,12
19.8128826,10
19.8314684,25
19.8500542,26
19.86864,20
19.8872258,22
19.9058116,19
19.9243974,17
19.9429832,15
19.961569,17
19.9801548,17
19.9987406,11
20.0173264,18
20.0359122,17
20.054498,21
20.0730838,22
20.0916696,15
20.1102554,16
20.1288412,20
20.147427,18
20.1660128,23
20.1845986,9
20.2031844,18
20.2217702,21
20.240356,12
20.2589418,11
20.2775276,15
20.2961134,18
20.3146992,11
20.333285,18
20.3518708,16
20.3704566,11
20.3890424,17
20.4076282,21
20.426214,16
20.4447998,20
20.4633856,19
20.4819714,25
20.5005572,24
20.519143,19
20.5377288,16
20.5563146,25
20.5749004,17
20.5934862,20
20.612072,13
20.6306578,18
20.6492436,20
20.6678294,13
20.6864152,14
20.705001,16
20.7235868,15
20.7421726,17
20.7607584,19
20.7793442,14
20.79793,19
20.8165158,17
20.8351016,11
20.8536874,22
20.8722732,16
20.890859,24
20.9094448,15
20.9280306,17
20.9466164,19
20.9652022,24
20.983788,15
21.0023738,20
21.0209596,8
21.0395454,14
21.0581312,16
21.076717,16
21.0953028,11
21.1138886,16
21.1324744,16
21.1510602,19
21.169646,15
21.1882318,20
21.2068176,16
21.2254034,14
21.2439892,12
21.262575,16
21.2811608,19
21.2997466,17
21.3183324,16
21.3369182,26
21.355504,23
21.3740898,18
21.3926756,21
21.4112614,20
21.4298472,13
21.448433,21
21.4670188,19
21.4856046,24
21.5041904,20
21.5227762,15
21.541362,19
21.5599478,15
21.5785336,24
21.5971194,21
21.6157052,13
21.634291,13
21.6528768,12
21.6714626,12
21.6900484,15
21.7086342,22
21.72722,19
21.7458058,19
21.7643916,17
21.7829774,14
21.8015632,16
21.820149,19
21.8387348,26
21.8573206,27
21.8759064,25
21.8944922,40
21.913078,57
21.9316638,74
21.9502496,96
21.9688354,89
