wavelength,"(174, 3052)","(180, 3085)","(143, 3166)","(158, 3222)","(170, 3189)","(161, 3058)","(173, 3138)","(146, 3174)","(159, 3142)","(149, 3109)","(149, 3085)"
531.237,0.499789,0.407168,0.395014,0.261445,0.293115,0.352325,0.370432,0.440302,0.421729,0.35579,0.335034
532.864,0.486727,0.413738,0.408885,0.28788,0.286214,0.360439,0.389815,0.444792,0.435647,0.371169,0.338793
534.491,0.50411,0.417925,0.412098,0.292203,0.299834,0.364254,0.386013,0.456732,0.443875,0.38648,0.334093
536.117,0.509323,0.431382,0.413309,0.287277,0.293115,0.369359,0.403408,0.459711,0.445716,0.386654,0.353308
537.744,0.49669,0.430864,0.432424,0.307909,0.308781,0.375126,0.422533,0.468396,0.45452,0.384307,0.355229
539.371,0.508739,0.456169,0.435686,0.312221,0.309576,0.387473,0.40518,0.471551,0.457494,0.391732,0.358892
540.997,0.516975,0.461494,0.43082,0.309956,0.320094,0.392054,0.421348,0.476096,0.463903,0.414477,0.368474
542.624,0.517476,0.483433,0.433858,0.309674,0.329619,0.403449,0.422575,0.475763,0.476913,0.416875,0.386601
544.251,0.53106,0.493381,0.445749,0.324066,0.331981,0.398811,0.427918,0.488278,0.464644,0.41115,0.388127
545.878,0.53248,0.489738,0.454442,0.336212,0.326901,0.408103,0.426353,0.509656,0.484166,0.427663,0.386539
547.504,0.530059,0.479793,0.462615,0.330617,0.337844,0.397726,0.438237,0.504492,0.479262,0.427429,0.397495
549.131,0.548127,0.474844,0.467453,0.331698,0.342468,0.414847,0.443716,0.512684,0.485301,0.446353,0.400942
550.758,0.552805,0.495796,0.474943,0.336644,0.354513,0.419499,0.457487,0.519929,0.494271,0.446887,0.403692
552.385,0.557136,0.47989,0.471527,0.34381,0.34119,0.413721,0.464806,0.532109,0.493685,0.442582,0.413416
554.011,0.552148,0.494134,0.49254,0.34329,0.346445,0.424279,0.461266,0.523289,0.493664,0.44804,0.414382
555.638,0.551362,0.498712,0.503448,0.343143,0.348492,0.427683,0.474177,0.530206,0.51004,0.449169,0.429165
557.265,0.559817,0.504875,0.502011,0.353399,0.349271,0.433308,0.472559,0.542506,0.50512,0.457125,0.425381
558.892,0.571118,0.52083,0.507305,0.359219,0.358205,0.437068,0.478566,0.548067,0.504359,0.462769,0.440351
560.518,0.585663,0.504776,0.515812,0.364049,0.370364,0.446302,0.482404,0.559074,0.523756,0.472397,0.441073
