wavelength,"(1406, 2263)","(1404, 2273)","(1411, 2282)","(1404, 2295)","(1411, 2310)","(1404, 2317)","(1415, 2298)","(1404, 2306)","(1411, 2321)","(1404, 2285)"
591.426,0.225359,0.225429,0.18834,0.216059,0.1981,0.214749,0.206313,0.216682,0.215938,0.210202
593.053,0.220992,0.223252,0.191393,0.210676,0.205176,0.216473,0.218293,0.215228,0.216461,0.204551
594.68,0.226986,0.217901,0.191664,0.213392,0.20866,0.220614,0.213923,0.217248,0.218586,0.212903
596.307,0.227447,0.232077,0.190791,0.220123,0.210433,0.223185,0.209018,0.220253,0.223185,0.202172
597.933,0.225323,0.229657,0.194389,0.213001,0.212487,0.215298,0.208596,0.216365,0.215008,0.219921
599.56,0.21627,0.223702,0.190353,0.221167,0.205063,0.217669,0.217272,0.212759,0.211661,0.217483
601.187,0.221155,0.232282,0.189302,0.211824,0.211886,0.229804,0.207551,0.221195,0.21736,0.214474
602.814,0.222396,0.227022,0.181221,0.214868,0.204298,0.219623,0.206314,0.21194,0.218904,0.208848
604.44,0.219618,0.230731,0.186148,0.206803,0.207782,0.21767,0.204078,0.223371,0.21761,0.210713
606.067,0.220259,0.230397,0.195778,0.211034,0.209545,0.217271,0.204706,0.217582,0.211911,0.210627
607.694,0.220554,0.225686,0.191809,0.213985,0.210344,0.222553,0.213306,0.210699,0.215471,0.213746
609.321,0.222269,0.226368,0.196949,0.209386,0.208938,0.215932,0.208987,0.214152,0.221286,0.202299
610.947,0.220995,0.232893,0.192849,0.214203,0.211968,0.221453,0.201884,0.21453,0.213978,0.214059
612.574,0.221076,0.229516,0.188708,0.210038,0.209443,0.22328,0.212858,0.215181,0.217866,0.214492
614.201,0.217386,0.231595,0.192016,0.207756,0.206237,0.218964,0.207784,0.210959,0.228513,0.2154
615.828,0.220708,0.221924,0.183265,0.216462,0.205146,0.218292,0.209459,0.215222,0.2124,0.204843
617.454,0.215693,0.234324,0.184604,0.210437,0.209331,0.206881,0.21005,0.216695,0.220382,0.209537
619.081,0.220076,0.222196,0.189008,0.207414,0.206041,0.217201,0.207304,0.216324,0.216272,0.201848
620.708,0.223452,0.226675,0.183688,0.209466,0.201704,0.22624,0.208101,0.21408,0.213581,0.21253
622.334,0.219725,0.227531,0.183592,0.210494,0.203531,0.21287,0.202296,0.213479,0.216328,0.207396
623.961,0.216223,0.223435,0.185749,0.210467,0.206727,0.219643,0.206266,0.214519,0.216332,0.203355
625.588,0.213082,0.221563,0.188436,0.206632,0.199532,0.222576,0.2033,0.211696,0.211769,0.202555
627.215,0.219684,0.220774,0.180763,0.211667,0.207869,0.216033,0.206365,0.206551,0.216189,0.205674
628.841,0.225209,0.23262,0.182267,0.208885,0.208527,0.21492,0.2089,0.21048,0.211688,0.206709
630.468,0.218927,0.225804,0.190291,0.201883,0.204964,0.21877,0.20919,0.211969,0.212776,0.203827
632.095,0.217355,0.233024,0.188924,0.208903,0.197493,0.223498,0.202166,0.208524,0.21466,0.203074
633.722,0.224327,0.220199,0.186306,0.212615,0.203082,0.216978,0.198213,0.214254,0.212312,0.205022
635.348,0.220145,0.225868,0.178707,0.205906,0.206636,0.221477,0.20477,0.210999,0.210725,0.199941
636.975,0.21095,0.226775,0.191933,0.214922,0.201446,0.222115,0.20751,0.214515,0.212838,0.203736
638.602,0.22343,0.227713,0.189334,0.201197,0.206852,0.219761,0.203763,0.210653,0.21564,0.201867
640.229,0.218402,0.224452,0.186381,0.217302,0.211817,0.217533,0.200302,0.219897,0.21824,0.203577
641.855,0.217724,0.228318,0.187198,0.214552,0.209241,0.221492,0.206371,0.220374,0.215035,0.207338
643.482,0.217254,0.221006,0.190201,0.209944,0.201542,0.223344,0.198424,0.219267,0.209984,0.209645
645.109,0.227487,0.222121,0.193845,0.211784,0.199966,0.212353,0.200372,0.20831,0.221235,0.198655
646.736,0.211549,0.228627,0.189503,0.210109,0.201691,0.218867,0.199713,0.208048,0.216481,0.199255
648.362,0.219333,0.225719,0.194279,0.207927,0.203701,0.221494,0.202908,0.207352,0.213661,0.205163
649.989,0.224198,0.224752,0.183891,0.208247,0.202198,0.221636,0.208724,0.214075,0.21706,0.197631
651.616,0.218386,0.231608,0.187155,0.204456,0.204156,0.21429,0.207151,0.210548,0.215576,0.202315
653.243,0.222804,0.229756,0.185245,0.204969,0.20254,0.217902,0.203279,0.210503,0.219346,0.204761
654.869,0.220245,0.230864,0.189148,0.210235,0.206945,0.212722,0.200366,0.211347,0.215483,0.201793
656.496,0.22392,0.229937,0.18585,0.213664,0.202331,0.222431,0.200888,0.207008,0.221718,0.203119
658.123,0.217089,0.231812,0.195476,0.205024,0.201196,0.213485,0.200526,0.21369,0.219577,0.213727
659.75,0.223885,0.226479,0.193807,0.202733,0.196202,0.216165,0.203624,0.208968,0.212709,0.201788
661.376,0.229096,0.228209,0.186261,0.203297,0.196977,0.217317,0.199819,0.214131,0.217609,0.20034
663.003,0.2187,0.227223,0.184031,0.205062,0.20273,0.212249,0.195167,0.206236,0.218136,0.200058
664.63,0.220706,0.222033,0.190519,0.211897,0.206583,0.217164,0.200962,0.211869,0.216187,0.206825
666.256,0.217685,0.229463,0.180567,0.206881,0.204851,0.215567,0.20412,0.209094,0.216147,0.202781
667.883,0.219145,0.234597,0.187246,0.212039,0.205073,0.217852,0.202589,0.214097,0.210823,0.204344
669.51,0.224208,0.235919,0.188468,0.209332,0.203955,0.210491,0.207984,0.211237,0.215099,0.196895
671.137,0.212947,0.22373,0.191919,0.208812,0.197488,0.215623,0.203707,0.212204,0.220475,0.201494
672.763,0.214946,0.227571,0.190117,0.213581,0.2092,0.216954,0.201577,0.210235,0.219683,0.208122
674.39,0.215457,0.235052,0.192767,0.207546,0.207178,0.217409,0.197433,0.214186,0.215759,0.206721
676.017,0.218048,0.223943,0.187702,0.212047,0.209238,0.215251,0.200578,0.207004,0.215249,0.208454
677.644,0.224384,0.228507,0.18779,0.20511,0.204179,0.215213,0.197206,0.216137,0.215371,0.204969
679.27,0.225128,0.235221,0.186115,0.210309,0.210943,0.218359,0.199943,0.215986,0.219868,0.201489
680.897,0.221941,0.226433,0.184534,0.206281,0.201753,0.222493,0.201136,0.210504,0.217515,0.204249
682.524,0.21483,0.23227,0.189229,0.209684,0.200878,0.22646,0.203067,0.21558,0.214497,0.19905
684.151,0.224721,0.230204,0.195261,0.214446,0.201009,0.219131,0.199462,0.210556,0.220983,0.204646
685.777,0.218489,0.229718,0.195183,0.206843,0.204405,0.209592,0.204838,0.209224,0.214304,0.204707
687.404,0.218764,0.22897,0.186804,0.211558,0.204747,0.216116,0.204365,0.215068,0.211047,0.201046
689.031,0.225832,0.229994,0.18546,0.206896,0.202721,0.215897,0.204329,0.211821,0.22091,0.197909
690.658,0.223951,0.230917,0.193547,0.20934,0.202257,0.217762,0.205136,0.211397,0.210015,0.204704
692.284,0.224881,0.231218,0.189658,0.205354,0.207763,0.221964,0.199216,0.208863,0.213985,0.196106
693.911,0.221197,0.225012,0.184451,0.20745,0.208282,0.215564,0.206189,0.212302,0.219803,0.198526
695.538,0.22051,0.227737,0.188944,0.212091,0.204439,0.209251,0.198875,0.212915,0.215071,0.20366
697.165,0.217256,0.22515,0.195167,0.209952,0.196389,0.215512,0.205177,0.213829,0.220498,0.197424
698.791,0.221488,0.231567,0.188968,0.208381,0.211775,0.211809,0.204083,0.209418,0.223692,0.20343
700.418,0.221246,0.226496,0.193208,0.214149,0.203026,0.215747,0.191376,0.212725,0.216174,0.206885
702.045,0.227045,0.227149,0.18398,0.210346,0.199266,0.217999,0.200598,0.214099,0.208455,0.20275
703.672,0.216085,0.231402,0.188435,0.212277,0.198326,0.218365,0.192898,0.213316,0.225074,0.200748
705.298,0.221235,0.222685,0.187978,0.210528,0.202465,0.217085,0.201293,0.216397,0.210049,0.205322
706.925,0.224332,0.230858,0.190673,0.209054,0.207127,0.220515,0.201222,0.205818,0.216987,0.201384
708.552,0.226496,0.230439,0.181978,0.210863,0.208793,0.216776,0.195324,0.21506,0.214459,0.205198
710.178,0.222569,0.237945,0.194532,0.214377,0.199712,0.216671,0.20372,0.215617,0.212309,0.198443
711.805,0.222689,0.228877,0.193769,0.216949,0.204645,0.214332,0.199566,0.206453,0.219976,0.205961
713.432,0.225621,0.232033,0.191276,0.213076,0.200856,0.222524,0.197989,0.211985,0.211608,0.1971
715.059,0.219415,0.234805,0.187229,0.214442,0.199175,0.215348,0.202927,0.21135,0.217371,0.199803
716.685,0.223624,0.23142,0.186087,0.213153,0.207031,0.213122,0.198534,0.215378,0.211695,0.210381
718.312,0.220615,0.232917,0.194246,0.212618,0.206558,0.216446,0.190644,0.216415,0.216025,0.205332
719.939,0.230087,0.224068,0.192207,0.210805,0.207472,0.213745,0.205722,0.214683,0.210593,0.195706
721.566,0.221141,0.226593,0.186385,0.217914,0.197731,0.219662,0.197862,0.220692,0.217221,0.200777
723.192,0.224832,0.227786,0.1968,0.208567,0.206656,0.212405,0.196114,0.214058,0.218383,0.212371
724.819,0.222052,0.225553,0.192995,0.213216,0.20798,0.210611,0.192362,0.207063,0.219999,0.203805
726.446,0.225386,0.227445,0.191206,0.209558,0.198154,0.214574,0.192964,0.217886,0.216617,0.205457
728.073,0.223875,0.22307,0.185668,0.210516,0.205031,0.214238,0.194129,0.213008,0.215642,0.198079
729.699,0.227952,0.22991,0.190145,0.21016,0.20157,0.212818,0.196051,0.219972,0.210526,0.202155
731.326,0.224942,0.233087,0.184421,0.217081,0.203065,0.208394,0.194438,0.214058,0.211205,0.205
732.953,0.224457,0.228329,0.189865,0.210436,0.205551,0.210691,0.195399,0.210947,0.219124,0.203096
734.58,0.217688,0.224831,0.186561,0.216802,0.200295,0.217958,0.197884,0.210797,0.214895,0.20039
736.206,0.22123,0.231593,0.18562,0.205249,0.198518,0.212046,0.201874,0.213437,0.211807,0.203721
737.833,0.223482,0.228553,0.185014,0.207704,0.210998,0.213211,0.202708,0.214457,0.212411,0.199834
739.46,0.221864,0.237207,0.193759,0.221061,0.201021,0.215035,0.190783,0.217099,0.217569,0.205647
741.087,0.233494,0.235383,0.19249,0.215153,0.204527,0.220413,0.193512,0.21549,0.213722,0.203541
742.713,0.230251,0.234475,0.18443,0.213342,0.204543,0.222082,0.19792,0.217063,0.214955,0.208961
744.34,0.228713,0.226228,0.186193,0.216061,0.198172,0.21351,0.20224,0.210719,0.217853,0.213695
745.967,0.230217,0.232978,0.189185,0.208995,0.204052,0.211988,0.20273,0.213694,0.215357,0.206686
747.593,0.230166,0.238154,0.192591,0.211208,0.209823,0.217082,0.198941,0.208851,0.214532,0.205659
749.22,0.227828,0.236551,0.191234,0.218489,0.201725,0.21632,0.197102,0.222756,0.217743,0.20178
750.847,0.224936,0.234637,0.187314,0.212535,0.205452,0.212894,0.200931,0.220621,0.218975,0.203739
752.474,0.227466,0.237768,0.191523,0.211655,0.201704,0.210641,0.197521,0.221941,0.218528,0.204996
754.1,0.230565,0.240187,0.187673,0.206881,0.207152,0.219366,0.194544,0.21977,0.203082,0.203653
755.727,0.22184,0.243551,0.186656,0.205322,0.204333,0.214193,0.202534,0.225328,0.221279,0.209567
757.354,0.233426,0.232327,0.179214,0.212708,0.207713,0.218961,0.190107,0.221544,0.213709,0.202952
758.981,0.233489,0.229648,0.181845,0.206725,0.204819,0.214505,0.188279,0.223879,0.210993,0.201937
760.607,0.219943,0.228049,0.192305,0.21796,0.207961,0.220799,0.197702,0.214584,0.218158,0.206872
762.234,0.230763,0.238617,0.187366,0.209982,0.204416,0.221064,0.198877,0.220909,0.21947,0.215528
763.861,0.238692,0.234641,0.188653,0.215862,0.211767,0.215666,0.196193,0.211158,0.2192,0.204399
765.488,0.22739,0.230214,0.188115,0.214575,0.210375,0.218822,0.193919,0.21398,0.216589,0.205152
767.114,0.222414,0.233273,0.195466,0.210232,0.212629,0.222477,0.197534,0.212125,0.209157,0.196478
768.741,0.231297,0.237783,0.181715,0.210498,0.203105,0.212738,0.189708,0.215915,0.215559,0.208809
770.368,0.220383,0.235142,0.191363,0.214374,0.206124,0.222583,0.196551,0.212609,0.212833,0.198388
771.995,0.223077,0.242975,0.187372,0.197686,0.200542,0.21562,0.191382,0.209669,0.206655,0.210236
773.621,0.226191,0.227434,0.189439,0.216208,0.199311,0.21095,0.193627,0.223595,0.206073,0.195806
775.248,0.219431,0.234013,0.190252,0.21414,0.208603,0.226709,0.189563,0.214607,0.209656,0.207297
776.875,0.242538,0.233369,0.182712,0.208613,0.208221,0.212292,0.186682,0.225276,0.21869,0.200018
778.502,0.229199,0.234077,0.188895,0.214798,0.202559,0.221489,0.192033,0.221885,0.210217,0.202292
780.128,0.228571,0.234162,0.184908,0.200895,0.207493,0.226461,0.193238,0.218849,0.221053,0.205249
781.755,0.219382,0.23905,0.188136,0.215173,0.216542,0.227498,0.193106,0.217629,0.212958,0.201363
783.382,0.230861,0.219593,0.18975,0.217798,0.210396,0.223,0.190199,0.223782,0.211721,0.201401
785.009,0.227144,0.241336,0.193611,0.201696,0.20505,0.227036,0.190512,0.218045,0.211373,0.198881
786.635,0.227836,0.235502,0.186566,0.208175,0.21132,0.217723,0.19017,0.216688,0.215078,0.20962
788.262,0.227507,0.234266,0.18704,0.208681,0.210984,0.214398,0.193334,0.209538,0.210604,0.204034
789.889,0.22632,0.237957,0.187335,0.217096,0.206631,0.219716,0.194889,0.215058,0.215389,0.207751
791.515,0.234351,0.22775,0.191941,0.209646,0.207057,0.218771,0.189556,0.217888,0.220084,0.20894
793.142,0.228819,0.234113,0.189716,0.213296,0.204449,0.222338,0.187076,0.226412,0.224339,0.208283
794.769,0.233849,0.237732,0.190431,0.211791,0.21068,0.223231,0.192942,0.208229,0.218621,0.205987
796.396,0.223403,0.224309,0.174554,0.207419,0.205277,0.219053,0.196728,0.211042,0.2135,0.20568
