wavelength,"(877, 2902)","(845, 3248)","(815, 3120)","(851, 3113)","(822, 3072)","(851, 3182)","(790, 3304)","(842, 3010)","(860, 3073)","(842, 2948)"
526.357,0.356626,0.379496,0.275999,0.412438,0.493066,0.536232,0.441159,0.354523,0.320571,0.525396
527.984,0.357431,0.39352,0.294018,0.414341,0.502336,0.525944,0.451482,0.367159,0.329474,0.519584
529.61,0.369999,0.39644,0.291082,0.432515,0.503593,0.540709,0.449544,0.361588,0.337121,0.538176
531.237,0.370942,0.404666,0.299277,0.432229,0.498047,0.556741,0.446241,0.367336,0.332013,0.540913
532.864,0.371361,0.413929,0.307825,0.44936,0.505069,0.558025,0.454587,0.373498,0.343762,0.55544
534.491,0.378402,0.407212,0.321382,0.441333,0.52788,0.56559,0.467727,0.37929,0.351766,0.560832
536.117,0.379668,0.417448,0.332291,0.439947,0.516461,0.576347,0.458336,0.384648,0.355414,0.561622
537.744,0.390626,0.420977,0.335413,0.461176,0.527901,0.576249,0.466588,0.389399,0.359257,0.568355
539.371,0.400086,0.425214,0.342466,0.46928,0.521494,0.57311,0.47723,0.392346,0.372382,0.579508
540.997,0.40481,0.447992,0.359422,0.476789,0.522233,0.578846,0.469709,0.398748,0.376864,0.598877
542.624,0.409215,0.451196,0.372037,0.471734,0.527894,0.577054,0.495376,0.40382,0.386484,0.603571
544.251,0.423335,0.464644,0.388782,0.49045,0.539915,0.599354,0.484802,0.414855,0.389653,0.605974
545.878,0.423704,0.465615,0.369349,0.491689,0.562153,0.588593,0.500613,0.414527,0.389769,0.615097
547.504,0.431676,0.460632,0.371747,0.485817,0.558371,0.61236,0.494211,0.416308,0.395485,0.601273
549.131,0.438824,0.461771,0.374727,0.481329,0.565724,0.606246,0.501259,0.425157,0.387392,0.605498
550.758,0.434561,0.451742,0.37794,0.489809,0.567275,0.609329,0.496714,0.415934,0.401545,0.602046
552.385,0.439731,0.463277,0.381158,0.492299,0.565955,0.631402,0.515176,0.438723,0.403073,0.618444
554.011,0.443203,0.47132,0.380266,0.508662,0.568397,0.631214,0.51529,0.43999,0.401253,0.614124
555.638,0.431299,0.469162,0.387232,0.495108,0.581,0.643065,0.522486,0.449672,0.410539,0.61351
557.265,0.455266,0.476505,0.386662,0.51615,0.576172,0.649214,0.537918,0.44012,0.417543,0.632759
558.892,0.453766,0.475222,0.403311,0.513199,0.591402,0.644838,0.529335,0.448002,0.422665,0.632311
560.518,0.460918,0.487297,0.40264,0.522384,0.587658,0.655057,0.530179,0.456864,0.425255,0.640784
562.145,0.476066,0.495687,0.401127,0.526572,0.601634,0.644331,0.535669,0.459025,0.437682,0.631918
563.772,0.470026,0.498653,0.405325,0.531816,0.600945,0.666676,0.545549,0.465529,0.43433,0.647342
565.399,0.48756,0.494022,0.416635,0.536623,0.60012,0.666026,0.552023,0.470436,0.449603,0.651409
567.025,0.483506,0.512695,0.424069,0.539597,0.608609,0.674605,0.552876,0.47481,0.446819,0.662532
568.652,0.480605,0.501321,0.430139,0.53827,0.612599,0.680586,0.557065,0.475527,0.448639,0.654886
570.279,0.482046,0.506277,0.431528,0.556216,0.614853,0.701714,0.560232,0.485607,0.46393,0.668003
571.906,0.48745,0.515871,0.430118,0.554595,0.63875,0.695713,0.571929,0.495467,0.459009,0.667674
573.532,0.502935,0.514948,0.436816,0.572622,0.629495,0.70018,0.572418,0.505239,0.465618,0.683302
575.159,0.511878,0.511013,0.443373,0.558279,0.639946,0.712565,0.578827,0.502883,0.470315,0.681791
