'y-axis saved as y
'x,ML_Wallace_03012020_1_NN_1_ZrP_900CCrucible_5-60_4min_BkgSubtracted.raw_1
8.6056452,6.25272369
8.624231,7.43470764
8.6428168,31.617836
8.6614026,0.802101135
8.6799884,24.9875031
8.6985742,2.17404938
8.71716,2.36173248
8.7357458,-0.449447632
8.7543316,-0.259483337
8.7729174,6.93161774
8.7915032,17.1238556
8.810089,-1.68276215
8.8286748,-18.4882431
8.8472606,2.52472687
8.8658464,12.5388412
8.8844322,-6.44590759
8.903018,15.570488
8.9216038,-4.41197968
8.9401896,6.60668945
8.9587754,17.6264954
8.9773612,9.64744568
8.995947,-4.33046722
9.0145328,15.6927643
9.0331186,35.7171326
9.0517044,-4.25736237
9.0702902,-5.23071289
9.088876,1.79707336
9.1074618,16.8259964
9.1260476,14.8560638
9.1446334,3.88726807
9.1632192,7.91960907
9.181805,25.9530945
9.2003908,14.9877167
9.2189766,34.0234833
9.2375624,-2.93962097
9.2561482,10.0984268
9.274734,32.1376038
9.2933198,15.1779251
9.3119056,10.2193832
9.3304914,6.26198578
9.3490772,7.3057251
9.367663,-5.6493988
9.3862488,4.39661407
9.4048346,17.4437714
9.4234204,5.49207306
9.4420062,12.5415039
9.460592,12.5920792
9.4791778,19.6437988
9.4977636,34.6966476
9.5163494,28.7506409
9.5349352,-10.1942215
9.553521,11.8620529
9.5721068,15.9194641
9.5906926,0.978012085
9.6092784,9.03770447
9.6278642,19.0985336
9.64645,20.1605072
9.6650358,12.2236176
9.6836216,25.2878647
9.7022074,19.3532486
9.7207932,9.41977692
9.739379,-10.5125504
9.7579648,35.5562515
9.7765506,23.6261978
9.7951364,7.69728851
9.8137222,15.7695084
9.832308,-2.15712738
9.8508938,-4.08261871
9.8694796,-9.0069809
9.8880654,11.0698013
9.9066512,-6.85227203
9.925237,7.22679138
9.9438228,5.30699158
9.9624086,15.3883286
9.9809944,5.47080994
9.9995802,-11.4455719
10.018166,7.63919067
10.0367518,-2.27490997
10.0553376,3.81212616
10.0739234,2.90029907
10.0925092,2.98961639
10.111095,-8.91992188
10.1296808,-0.828330994
10.1482666,16.2644043
10.1668524,-11.641716
10.1854382,3.45329285
10.204024,21.5494461
10.2226098,5.64674377
10.2411956,12.7451782
10.2597814,19.8447495
10.2783672,11.9454575
10.296953,10.0473099
10.3155388,13.1502991
10.3341246,21.2544327
10.3527104,20.3596954
10.3712962,15.4661102
10.389882,16.5736542
10.4084678,23.6823425
10.4270536,8.79216766
10.4456394,-11.0968628
10.4642252,-3.98475647
10.482811,1.12848663
10.5013968,16.2428741
10.5199826,4.35839844
10.5385684,-0.524940491
10.5571542,-11.407135
10.57574,32.7118073
10.5943258,-1.16811371
10.6129116,12.9531097
10.6314974,2.07546997
10.6500832,14.1989746
10.668669,5.32361603
10.6872548,-0.550605774
10.7058406,-8.4236908
10.7244264,-10.2956314
10.7430122,-5.16750336
10.761598,-3.0382309
10.7801838,-2.90782928
10.7987696,11.2237167
10.8173554,5.35640717
10.8359412,12.4902344
10.854527,2.62519836
10.8731128,9.76129913
10.8916986,11.8985443
10.9102844,2.0369339
10.9288702,7.17645264
10.947456,4.31711578
10.9660418,31.4589157
10.9846276,39.60186
11.0032134,-5.25405884
11.0217992,-12.1088409
11.040385,14.0375214
11.0589708,-4.81497955
11.0775566,-2.66633606
11.0961424,0.483436584
11.1147282,21.6343536
11.133314,9.7864151
11.1518998,22.9396133
11.1704856,2.09394836
11.1890714,19.2494202
11.2076572,-6.59396362
11.226243,0.563789368
11.2448288,14.7226868
11.2634146,31.8827209
11.2820004,-4.95610809
11.3005862,15.2062073
11.319172,-9.63034058
11.3377578,-5.46575165
11.3563436,-2.30001831
11.3749294,-5.13314819
11.3935152,6.0348587
11.412101,21.20401
11.4306868,0.374298096
11.4492726,18.545723
11.4678584,10.7182922
11.4864442,9.89199829
11.50503,16.0668411
11.5236158,-17.7571716
11.5422016,15.4199524
11.5607874,6.59822083
11.5793732,25.777626
11.597959,3.95816803
11.6165448,-2.86014557
11.6351306,5.32267761
11.6537164,-4.49336243
11.6723022,4.69174194
11.690888,14.8779755
11.7094738,-5.93463898
11.7280596,14.2538757
11.7466454,19.4435425
11.7652312,21.6343384
11.783817,-2.17372131
11.8024028,15.0193558
11.8209886,20.2135696
11.8395744,2.40892792
11.8581602,10.605423
11.876746,13.8030624
11.8953318,19.0018311
