'y-axis saved as y
'x,ML_Wallace_04122019_1_NN_1_ZrP_CrucibleRetest_5-60_4min_BkgSubtracted.raw
6.4496924,-13.7915039
6.4682782,18.7260132
6.486864,14.2442322
6.5054498,2.76315308
6.5240356,-5.7171936
6.5426214,10.8031921
6.5612072,-4.6756897
6.579793,12.8461304
6.5983788,14.3686829
6.6169646,4.89193726
6.6355504,5.41592407
6.6541362,-13.0593567
6.672722,34.466095
6.6913078,-11.0077667
6.7098936,11.5191193
6.7284794,4.04670715
6.7470652,34.5750275
6.765651,4.10406494
6.7842368,1.63383484
6.8028226,4.16430664
6.8214084,-14.3044739
6.8399942,8.22744751
6.85858,1.76008606
6.8771658,-5.70654297
6.8957516,-12.1724548
6.9143374,11.3623657
6.9329232,17.8979034
6.951509,7.43415833
6.9700948,-5.02886963
6.9886806,-14.4911652
7.0072664,5.00598145
7.0258522,17.5038452
7.044438,30.0024414
7.0630238,8.50175476
7.0816096,1.00178528
7.1001954,10.502533
7.1187812,11.0040131
7.137367,0.506210327
7.1559528,-20.9908752
7.1745386,0.500869751
7.1931244,2.99333191
7.2117102,22.4865265
7.230296,12.980423
7.2488818,1.47506714
7.2674676,5.97041321
7.2860534,-0.533508301
7.3046392,-15.0367279
7.323225,6.46080017
7.3418108,-4.04096985
7.3603966,-1.54200745
7.3789824,5.95767212
7.3975682,8.45806885
7.416154,3.959198
7.4347398,0.461044312
7.4533256,1.96360779
7.4719114,16.4669037
7.4904972,-1.02909851
7.509083,-2.52436829
7.5276688,3.98109436
7.5462546,20.4872589
7.5648404,-6.00584412
7.5834262,-3.49822998
7.602012,-13.9898834
7.6205978,4.15869141
7.6391836,-14.6920166
7.6577694,7.45800781
7.6763552,-6.39125061
7.694941,-1.23979187
7.7135268,-6.08761597
7.7321126,3.06529236
7.7506984,-1.78108215
7.7692842,-1.6267395
7.78787,-12.4716797
7.8064558,20.6841125
7.8250416,5.84062195
7.8436274,-7.00213623
7.8622132,0.155807495
7.880799,7.31448364
7.8993848,12.473877
7.9179706,1.63400269
7.9365564,14.7948456
7.9551422,-11.0435944
7.973728,-12.8813171
7.9923138,19.2816925
8.0108996,18.4454193
8.0294854,2.60986328
8.0480712,-11.2249756
8.066657,-11.1803436
8.0852428,-8.16955566
8.1038286,32.8419495
8.1224144,20.854187
8.1410002,18.8671265
8.159586,26.8808136
8.1781718,10.8952026
8.1967576,26.9103241
8.2153434,-10.0738525
8.2339292,0.942718506
