'y-axis saved as y
'x,ML_Wallace_17122019_1_NN_1_ZrP_Crucible_12x16_14x161of2Crucibles_BlackPowder_5-60_4min_BkgSubtracted.raw
8.4012014,11.4992676
8.4197872,-2.35968018
8.438373,9.78234863
8.4569588,-9.07466125
8.4755446,6.06929779
8.4941304,16.2142258
8.5127162,36.3601227
8.531302,-2.49301147
8.5498878,-5.34518433
8.5684736,8.80361176
8.5870594,-11.0466232
8.6056452,-6.89589691
8.624231,6.25580597
8.6428168,-4.59152985
8.6614026,-0.437896729
8.6799884,1.71669769
8.6985742,6.87226868
8.71716,8.02880096
8.7357458,15.1863022
8.7543316,-6.65523529
8.7729174,17.5042038
8.7915032,-33.3353958
8.810089,1.82597351
8.8286748,9.98831177
8.8472606,8.15161133
8.8658464,-2.68411255
8.8844322,6.48112488
8.903018,20.6473236
8.9216038,27.8144989
8.9401896,10.9826355
8.9587754,12.1517487
8.9773612,8.32181549
8.995947,11.4928589
9.0145328,-17.3351364
9.0331186,5.83784485
9.0517044,-12.9882126
9.0702902,-4.92737579
9.088876,-5.8655777
9.1074618,7.19718933
9.1260476,25.2609253
9.1446334,5.32563019
9.1632192,12.3912964
9.181805,15.4579315
9.2003908,2.52553558
9.2189766,2.59410858
9.2375624,-14.3363571
9.2561482,6.73414612
9.274734,-1.19438171
9.2933198,3.87805939
9.3119056,11.9514694
9.3304914,-2.97415924
9.3490772,6.10118103
9.367663,7.17749023
9.3862488,-4.74523926
9.4048346,13.3330078
9.4234204,-7.58778381
9.4420062,14.4923935
9.460592,28.5735397
9.4791778,-1.34435272
9.4977636,6.73872375
9.5163494,4.82276917
9.5349352,19.9077835
9.553521,13.9937592
9.5721068,10.0807114
9.5906926,10.1686249
9.6092784,11.2574997
9.6278642,4.34735107
9.64645,17.4381638
9.6650358,26.5299454
9.6836216,6.62269592
9.7022074,12.7164154
9.7207932,-5.18890381
9.739379,-11.0932541
9.7579648,9.00336456
9.7765506,12.1009521
9.7951364,13.199501
9.8137222,13.2990265
9.832308,8.39951324
9.8508938,31.5009613
9.8694796,41.6033859
9.8880654,21.7067719
9.9066512,14.8111267
9.925237,5.9164505
9.9438228,2.02274323
9.9624086,-0.870002747
9.9809944,17.2382202
9.9995802,9.34741211
10.018166,-4.54242706
10.0367518,4.56869507
10.0553376,17.6807861
10.0739234,5.79384613
10.0925092,-13.0921249
10.111095,-3.9771347
10.1296808,9.13883209
10.1482666,-6.74423981
10.1668524,5.37365723
10.1854382,7.49251556
10.204024,17.6123428
10.2226098,5.73313904
10.2411956,5.85490417
10.2597814,14.9776382
10.2783672,11.1013336
10.296953,18.2259979
10.3155388,9.35163116
10.3341246,0.478233337
10.3527104,22.6057968
10.3712962,4.73433685
10.389882,26.8638382
10.4084678,0.994300842
10.4270536,11.1257401
10.4456394,26.2581406
10.4642252,12.39151
10.482811,14.5258484
10.5013968,21.6611557
10.5199826,4.79742432
10.5385684,17.9346619
10.5571542,6.07286835
10.57574,28.2120438
10.5943258,8.35218048
10.6129116,10.4932861
10.6314974,0.635360718
10.6500832,12.7784042
10.668669,8.92240906
10.6872548,19.0673904
10.7058406,9.21333313
10.7244264,-3.63976288
10.7430122,-6.49188232
10.761598,-0.343040466
10.7801838,13.8067703
10.7987696,-8.04244995
10.8173554,23.1092987
10.8359412,15.2620087
10.854527,26.4156876
10.8731128,23.5703354
10.8916986,16.7259521
10.9102844,5.88253021
10.9288702,2.04007721
10.947456,2.19859314
10.9660418,22.358078
10.9846276,21.5185318
11.0032134,18.6799469
11.0217992,11.8423309
11.040385,9.0056839
11.0589708,20.1699982
11.0775566,-5.664711
11.0961424,8.50154114
11.1147282,15.6687622
11.133314,3.83694458
11.1518998,13.0061035
11.1704856,1.17622375
11.1890714,-6.65268707
11.2076572,23.5193634
11.226243,5.69239044
11.2448288,-9.13362122
11.2634146,0.0413360596
11.2820004,8.21726227
11.3005862,10.3941498
11.319172,-8.42798615
11.3377578,18.7508392
11.3563436,-11.0693741
11.3749294,3.11138916
11.3935152,23.2931137
11.412101,24.4758148
11.4306868,12.6594696
11.4492726,15.844101
11.4678584,8.02970123
11.4864442,6.21626282
11.50503,23.4037933
11.5236158,-1.40771484
11.5422016,16.7817535
11.5607874,16.9721832
11.5793732,9.16358185
