[Header]
TITLE,1-26-2018-MK167-Ba2CaWO6-o2-ldfz-hc-.dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,14.2,MASS:Sample Mass (mg)
INFO,.2,MASSERR:Sample Mass Error (mg)
INFO,594.57,MOLWGHT:Formula Weight (g/mole)
INFO,10,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (J/mole-K),Samp HC Err (J/mole-K),Addenda HC (uJ/K),Addenda HC Err (uJ/K),Total HC (uJ/K),Total HC Err (uJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (J/mole-K/K),Addenda Offset HC (uJ/K)
33758491.13,,5905,19.7938,19.8342,0.127,9.3E-6,19.649218,0.38114711,7.1178001,0.101,69.419619,0.1079,239.41266,0.2834,4.2454966,9.2687447,0.049118517,97.424657,274.49242,1.455,1,,,,2.6176204E-5,28.051648,386.09175,0.36224344,0
33758581.89,,5905,19.7963,19.8342,0.127,9.3E-6,19.64986,0.37932199,7.1245204,0.1011,69.422964,0.1079,239.5765,0.2942,7.5537416,9.2550174,0.047830915,97.487521,274.41455,1.46,1,,,,2.6224415E-5,27.806234,386.117,0.3625736,0
33758946.39,,5905,22.0164,22.0552,0.127,9.4E-6,21.839513,0.37979614,9.9157603,0.1405,87.568363,0.1499,324.38454,0.3561,57.250863,11.492951,0.065450843,97.103593,272.87367,1.444,1,,,,2.8675963E-5,27.765052,476.96434,0.45402845,0
33759051.48,,5905,22.0213,22.0553,0.127,9.3E-6,21.866331,0.42520402,9.9502697,0.1411,87.740838,0.1503,325.3812,0.3815,2.45892,11.36917,0.057788174,97.413751,272.88779,1.454,1,,,,2.9027003E-5,34.478852,478.13645,0.4550498,0
33759156.69,,5905,22.0217,22.0545,0.127,9.4E-6,21.866871,0.42338405,9.9563468,0.1411,87.745957,0.1503,325.53146,0.3724,1.6633957,11.407174,0.058757375,97.37836,272.83815,1.45,1,,,,2.8949516E-5,34.10751,478.16003,0.45531649,0
33759539.77,,5905,24.2431,24.2756,0.127,9.4E-6,24.054675,0.42768383,13.061077,0.1848,107.56678,0.1907,419.50194,0.4316,15.026796,13.624469,0.074836008,97.10908,273.64033,1.458,1,,,,3.1299997E-5,34.221522,578.62738,0.54297457,0
33759660.17,,5905,24.2454,24.2768,0.127,9.4E-6,24.080257,0.46890614,13.107512,0.1858,107.7599,0.1911,420.80406,0.5092,1.203751,13.573323,0.069737514,97.294175,273.598,1.481,1,,,,3.1481944E-5,40.873407,579.85878,0.54432608,0
33759780.14,,5905,24.2473,24.2765,0.127,9.4E-6,24.080885,0.46843943,13.089592,0.1854,107.76548,0.1911,420.38167,0.4646,0.53152455,13.566722,0.070488371,97.265559,273.7336,1.468,1,,,,3.1470536E-5,40.719968,579.88903,0.54356774,0
33760176.17,,5905,26.4703,26.506,0.127,9.4E-6,26.276074,0.47506691,16.399933,0.2319,128.962,0.2335,520.63843,0.5007,15.9162,15.784625,0.086675871,97.040303,276.27289,1.489,1,,,,3.3556445E-5,40.700165,690.43206,0.62413941,0
33760309.84,,5905,26.4737,26.5051,0.127,9.4E-6,26.300319,0.51323633,16.428563,0.2326,129.15256,0.2338,521.51275,0.5755,1.8338067,15.680738,0.080950806,97.2179,276.35938,1.508,1,,,,3.3799741E-5,47.353875,691.7068,0.62465262,0
