'y-axis saved as y
'x,PDC_PTFI_20200618_1_217_4hr_blackxtal_PbTiO3.raw,Ycalc,Diff
8.9802152,8395,0,0
8.9973713,8520,0,0
9.0145274,8456,0,0
9.0316835,8561,0,0
9.0488396,8504,0,0
9.0659957,8514,0,0
9.0831518,8592,0,0
9.1003079,8591,0,0
9.117464,8654,0,0
9.1346201,8607,0,0
9.1517762,8528,0,0
9.1689323,8406,0,0
9.1860884,8429,0,0
9.2032445,8617,0,0
9.2204006,8580,0,0
9.2375567,8441,0,0
9.2547128,8532,0,0
9.2718689,8616,0,0
9.289025,8360,0,0
9.3061811,8467,0,0
9.3233372,8577,0,0
9.3404933,8419,0,0
9.3576494,8622,0,0
9.3748055,8527,0,0
9.3919616,8367,0,0
9.4091177,8604,0,0
9.4262738,8467,0,0
9.4434299,8540,0,0
9.460586,8538,0,0
9.4777421,8506,0,0
9.4948982,8571,0,0
9.5120543,8505,0,0
9.5292104,8531,0,0
9.5463665,8452,0,0
9.5635226,8253,0,0
9.5806787,8292,0,0
9.5978348,8567,0,0
9.6149909,8391,0,0
9.632147,8498,0,0
9.6493031,8409,0,0
9.6664592,8404,0,0
9.6836153,8491,0,0
9.7007714,8626,0,0
9.7179275,8511,0,0
9.7350836,8533,0,0
9.7522397,8627,0,0
9.7693958,8601,0,0
9.7865519,8519,0,0
9.803708,8514,0,0
9.8208641,8524,0,0
9.8380202,8483,0,0
9.8551763,8558,0,0
9.8723324,8671,0,0
9.8894885,8610,0,0
9.9066446,8714,0,0
9.9238007,8621,0,0
9.9409568,8590,0,0
9.9581129,8593,0,0
9.975269,8663,0,0
9.9924251,8549,0,0
10.0095812,8702,0,0
10.0267373,8603,0,0
10.0438934,8565,0,0
10.0610495,8610,0,0
10.0782056,8539,0,0
10.0953617,8570,0,0
10.1125178,8375,0,0
10.1296739,8600,0,0
10.14683,8606,0,0
10.1639861,8562,0,0
10.1811422,8587,0,0
10.1982983,8657,0,0
10.2154544,8554,0,0
10.2326105,8375,0,0
10.2497666,8516,0,0
10.2669227,8824,0,0
10.2840788,8742,0,0
10.3012349,8742,0,0
10.318391,8495,0,0
10.3355471,8679,0,0
10.3527032,8592,0,0
10.3698593,8621,0,0
10.3870154,8531,0,0
10.4041715,8598,0,0
10.4213276,8440,0,0
10.4384837,8523,0,0
10.4556398,8521,0,0
10.4727959,8616,0,0
