'y-axis saved as y
'x,PDC_LDFZ_20201113_1_217_2_(PBF1_20201110)-4hr-PbTiO3-second-cut-of-grown-crystal.raw,Ycalc,Diff
12.8136512,6253,0,0
12.8307864,6155,0,0
12.8479216,6302,0,0
12.8650568,6154,0,0
12.882192,6198,0,0
12.8993272,6245,0,0
12.9164624,6174,0,0
12.9335976,6211,0,0
12.9507328,6092,0,0
12.967868,6185,0,0
12.9850032,6126,0,0
13.0021384,6050,0,0
13.0192736,6087,0,0
13.0364088,6232,0,0
13.053544,6124,0,0
13.0706792,6215,0,0
13.0878144,6212,0,0
13.1049496,6031,0,0
13.1220848,6086,0,0
13.13922,6196,0,0
13.1563552,6096,0,0
13.1734904,6063,0,0
13.1906256,6061,0,0
13.2077608,6036,0,0
13.224896,5996,0,0
13.2420312,6126,0,0
13.2591664,6178,0,0
13.2763016,6026,0,0
13.2934368,5847,0,0
13.310572,6126,0,0
13.3277072,6220,0,0
13.3448424,5815,0,0
13.3619776,6207,0,0
13.3791128,6165,0,0
13.396248,6108,0,0
13.4133832,6018,0,0
13.4305184,6036,0,0
13.4476536,6013,0,0
13.4647888,5829,0,0
13.481924,6009,0,0
13.4990592,5930,0,0
13.5161944,5854,0,0
13.5333296,5885,0,0
13.5504648,5956,0,0
13.5676,5988,0,0
13.5847352,5921,0,0
13.6018704,6002,0,0
13.6190056,5984,0,0
13.6361408,5952,0,0
13.653276,5981,0,0
13.6704112,5865,0,0
13.6875464,6030,0,0
13.7046816,5959,0,0
13.7218168,5925,0,0
13.738952,5919,0,0
13.7560872,5887,0,0
13.7732224,6102,0,0
13.7903576,5843,0,0
13.8074928,5869,0,0
13.824628,5919,0,0
13.8417632,5868,0,0
13.8588984,5799,0,0
13.8760336,5747,0,0
13.8931688,5910,0,0
13.910304,5848,0,0
13.9274392,5870,0,0
13.9445744,5808,0,0
13.9617096,5814,0,0
13.9788448,5701,0,0
13.99598,5716,0,0
14.0131152,5793,0,0
14.0302504,5780,0,0
14.0473856,5808,0,0
14.0645208,5760,0,0
14.081656,5589,0,0
14.0987912,5669,0,0
14.1159264,5672,0,0
14.1330616,5699,0,0
14.1501968,5823,0,0
14.167332,5718,0,0
14.1844672,5882,0,0
14.2016024,5753,0,0
14.2187376,5725,0,0
14.2358728,5778,0,0
14.253008,5533,0,0
14.2701432,5740,0,0
14.2872784,5725,0,0
14.3044136,5694,0,0
14.3215488,5536,0,0
14.338684,5709,0,0
14.3558192,5607,0,0
14.3729544,5581,0,0
14.3900896,5560,0,0
14.4072248,5651,0,0
14.42436,5601,0,0
14.4414952,5630,0,0
14.4586304,5652,0,0
